Source_table,Source_column,Target_table,Target_column,Expression,Calculation_type
dimcustomer.csv,DateFirstPurchase,dimcustomer,DateFirstPurchase,DateFirstPurchase,COPY
dimcustomer.csv,EmailAddress,dimcustomer,EmailAddress,EmailAddress,COPY
dimcustomer.csv,EnglishEducation,dimcustomer,EnglishEducation,EnglishEducation,COPY
dimcustomer.csv,EnglishOccupation,dimcustomer,EnglishOccupation,EnglishOccupation,COPY
dimcustomer.csv,FirstName,dimcustomer,FirstName,FirstName,COPY
dimcustomer.csv,FrenchEducation,dimcustomer,FrenchEducation,FrenchEducation,COPY
dimcustomer.csv,FrenchOccupation,dimcustomer,FrenchOccupation,FrenchOccupation,COPY
dimcustomer.csv,Gender,dimcustomer,Gender,Gender,COPY
dimcustomer.csv,GeographyKey,dimcustomer,GeographyKey,GeographyKey,COPY
dimcustomer.csv,HouseOwnerFlag,dimcustomer,HouseOwnerFlag,HouseOwnerFlag,COPY
dimcustomer.csv,LastName,dimcustomer,LastName,LastName,COPY
dimcustomer.csv,MaritalStatus,dimcustomer,MaritalStatus,MaritalStatus,COPY
dimcustomer.csv,MiddleName,dimcustomer,MiddleName,MiddleName,COPY
dimcustomer.csv,NameStyle,dimcustomer,NameStyle,NameStyle,COPY
dimcustomer.csv,NumberCarsOwned,dimcustomer,NumberCarsOwned,NumberCarsOwned,COPY
dimcustomer.csv,NumberChildrenAtHome,dimcustomer,NumberChildrenAtHome,NumberChildrenAtHome,COPY
dimcustomer.csv,Phone,dimcustomer,Phone,Phone,COPY
dimcustomer.csv,SpanishEducation,dimcustomer,SpanishEducation,SpanishEducation,COPY
dimcustomer.csv,SpanishOccupation,dimcustomer,SpanishOccupation,SpanishOccupation,COPY
dimcustomer.csv,Suffix,dimcustomer,Suffix,Suffix,COPY
dimcustomer.csv,Title,dimcustomer,Title,Title,COPY
dimcustomer.csv,TotalChildren,dimcustomer,TotalChildren,TotalChildren,COPY
dimcustomer.csv,YearlyIncome,dimcustomer,YearlyIncome,YearlyIncome,COPY
factcurrencyrate.csv,AverageRate,factcurrencyrate,AverageRate,AverageRate,COPY
factcurrencyrate.csv,CurrencyKey,factcurrencyrate,CurrencyKey,CurrencyKey,COPY
factcurrencyrate.csv,Date,factcurrencyrate,Date,Date,COPY
factcurrencyrate.csv,DateKey,factcurrencyrate,DateKey,DateKey,COPY
factcurrencyrate.csv,EndOfDayRate,factcurrencyrate,EndOfDayRate,EndOfDayRate,COPY
dimemployee.csv,BaseRate,dimemployee,BaseRate,BaseRate,COPY
dimemployee.csv,BirthDate,dimemployee,BirthDate,BirthDate,COPY
dimemployee.csv,CurrentFlag,dimemployee,CurrentFlag,CurrentFlag,COPY
dimemployee.csv,DepartmentName,dimemployee,DepartmentName,DepartmentName,COPY
dimemployee.csv,EmailAddress,dimemployee,EmailAddress,EmailAddress,COPY
dimemployee.csv,EmergencyContactName,dimemployee,EmergencyContactName,EmergencyContactName,COPY
dimemployee.csv,EmergencyContactPhone,dimemployee,EmergencyContactPhone,EmergencyContactPhone,COPY
dimemployee.csv,EmployeeKey,dimemployee,EmployeeKey,EmployeeKey,COPY
dimdepartmentgroup.csv,DepartmentGroupKey,dimdepartmentgroup,DepartmentGroupKey,DepartmentGroupKey,COPY
dimdepartmentgroup.csv,DepartmentGroupName,dimdepartmentgroup,DepartmentGroupName,DepartmentGroupName,COPY
dimdepartmentgroup.csv,ParentDepartmentGroupKey,dimdepartmentgroup,ParentDepartmentGroupKey,ParentDepartmentGroupKey,COPY
dimsalesreason.csv,SalesReasonAlternateKey,dimsalesreason,SalesReasonAlternateKey,SalesReasonAlternateKey,COPY
dimsalesreason.csv,SalesReasonKey,dimsalesreason,SalesReasonKey,SalesReasonKey,COPY
dimsalesreason.csv,SalesReasonName,dimsalesreason,SalesReasonName,SalesReasonName,COPY
dimsalesreason.csv,SalesReasonReasonType,dimsalesreason,SalesReasonReasonType,SalesReasonReasonType,COPY
factsalesquota.csv,EmployeeKey,factsalesquota,EmployeeKey,EmployeeKey,COPY
factsalesquota.csv,CalendarQuarter,factsalesquota,CalendarQuarter,CalendarQuarter,COPY
factsalesquota.csv,CalendarYear,factsalesquota,CalendarYear,CalendarYear,COPY
factsalesquota.csv,Date,factsalesquota,DateKey,Date,COPY
factsalesquota.csv,DateKey,factsalesquota,Date,DateKey,COPY
factsalesquota.csv,SalesAmountQuota,factsalesquota,SalesQuotaKey,SalesAmountQuota,COPY
factsalesquota.csv,SalesQuotaKey,factsalesquota,SalesAmountQuota,SalesQuotaKey,COPY
dimdate.csv,CalendarQuarter,dimdate,CalendarQuarter,CalendarQuarter,COPY
dimdate.csv,CalendarSemester,dimdate,CalendarSemester,CalendarSemester,COPY
dimdate.csv,CalendarYear,dimdate,CalendarYear,CalendarYear,COPY
dimdate.csv,DateKey,dimdate,DateKey,DateKey,COPY
dimdate.csv,DayNumberOfMonth,dimdate,DayNumberOfMonth,DayNumberOfMonth,COPY
dimdate.csv,DayNumberOfWeek,dimdate,DayNumberOfWeek,DayNumberOfWeek,COPY
dimdate.csv,DayNumberOfYear,dimdate,DayNumberOfYear,DayNumberOfYear,COPY
dimdate.csv,EnglishDayNameOfWeek,dimdate,EnglishDayNameOfWeek,EnglishDayNameOfWeek,COPY
